product_id,product_name,aliases,unit,price
PK011,أكياس شفافة بسوستة 20×30,اكياس بسوسته|زيبلوك|شنط بقفل|اكياس زيبلوك,باكو,18.00
PK012,بلاستيك تغليف حراري,شرنك|بلاستيك شرنك|تغليف حرارى|بلاستيك حراري,رول,55.00
PK013,كرتون تغليف مقوى كبير 60×40×40,كرتونه كبيره|كرتون كبير|كرتون تغليف كبير,قطعة,15.00
PK014,كرتون تغليف مقوى صغير 30×20×20,كرتونه صغيره|كرتون صغير|كرتون تغليف صغير,قطعة,8.00
PK015,ورق تغليف بني كرافت,ورق بنى|ورق كرافت|ورق تغليف|ورق بنى كرافت,رول,22.00
PK016,أكواب فوم 4 أونص,كوبايات فوم صغيره|كوب فوم صغير|كوبايات فوم 4 اونص,باكو,20.00
PK017,أكواب فوم 8 أونص,كوبايات فوم كبيره|كوب فوم كبير|كوبايات فوم 8 اونص,باكو,30.00
PK018,أطباق فوم كبيرة مقاس 26,صحون فوم كبيره|اطباق فوم كبير|صحون فوم 26,باكو,28.00
PK019,أطباق فوم صغيرة مقاس 18,صحون فوم صغيره|اطباق فوم صغير|صحون فوم 18,باكو,18.00
PK020,ملاعق بلاستيك شفافة,معالق بلاستيك|ملاعق بلستك|معالق بلستك,باكو,12.00
PK021,شوك بلاستيك شفافة,شوك بلستك|فورك بلاستيك|شوكه بلاستيك,باكو,12.00
PK022,أكياس ساندوتش شفافة,اكياس سندوتش|شنط ساندوتش|اكياس سندويتش|اكياس سندوتشات,باكو,10.00
PK023,صحون ورقية مقاس 22,اطباق ورقيه|صحون ورق|اطباق ورق|صحون ورقيه,باكو,22.00
PK024,جركن فارغ 5 لتر,جركن 5 لتر|جالون 5 لتر|جركنه صغيره|جركن صغير,قطعة,15.00
PK025,جركن فارغ 20 لتر,جركن 20 لتر|جالون 20 لتر|جركنه كبيره|جركن كبير,قطعة,35.00
